"lsoa11cd","CAUTH18NM","lsoa11nm","st_areasha","st_lengths","IMD_Rank","IMD_Decile","IMDScore","IMDRank0","IMDDec0","IncScore","IncRank","IncDec","EmpScore","EmpRank","EmpDec","EduScore","EduRank","EduDec","HDDScore","HDDRank","HDDDec","CriScore","CriRank","CriDec","BHSScore","BHSRank","BHSDec","EnvScore","EnvRank","EnvDec","IDCScore","IDCRank","IDCDec","IDOScore","IDORank","IDODec","CYPScore","CYPRank","CYPDec","ASScore","ASRank","ASDec","GBScore","GBRank","GBDec","WBScore","WBRank","WBDec","IndScore","IndRank","IndDec","OutScore","OutRank","OutDec","TotPop","DepChi","Pop16_59","Pop60.","WorkPop"
"E01006443","Liverpool City Region","Knowsley 010C",270202.3600385,2738.89640080063,141,1,73.408,141,1,0.433,194,1,0.37,81,1,70.988,710,1,2.208,184,1,1.114,2707,1,17.943,19208,6,25.06,11743,4,0.444,771,1,0.523,505,1,1.232,2193,1,0.572,451,1,-0.283,20623,7,0.983,10619,4,0.296,11918,4,0.465,8767,3,1376,285,767,324,768.25
"E01006444","Liverpool City Region","Knowsley 010D",229759.172209,2832.44527198262,348,1,67.855,348,1,0.412,309,1,0.297,481,1,80.654,270,1,1.47,1601,1,0.768,5752,2,21.196,15277,5,36.385,5631,2,0.514,255,1,0.385,2192,1,1.409,1345,1,0.613,132,1,-0.194,19143,6,1.516,8527,3,0.647,7370,3,0.903,4832,2,1455,323,801,331,798.75
"E01006445","Liverpool City Region","Knowsley 010E",191850.379143,2725.77150308916,371,1,67.486,371,1,0.406,344,1,0.29,568,1,70.918,719,1,1.945,415,1,0.39,10603,4,18.794,18118,6,41.384,3832,2,0.478,451,1,0.46,977,1,1.286,1916,1,0.563,561,1,-0.311,21087,7,1.229,9610,3,0.886,4850,2,0.812,5553,2,1300,277,797,226,791
"E01006446","Liverpool City Region","Knowsley 005G",6177341.1261265,13539.8846743578,465,1,65.982,465,1,0.408,336,1,0.299,464,1,62.92,1401,1,1.998,352,1,-0.523,24092,8,23.845,12303,4,41.266,3865,2,0.478,446,1,0.467,901,1,1.273,1974,1,0.519,1508,1,0.352,9998,4,0.464,12922,4,1.124,2946,1,0.053,14432,5,1461,331,852,278,839
"E01006447","Liverpool City Region","Knowsley 003E",245303.063455,2275.89025066036,481,1,65.697,481,1,0.415,277,1,0.309,371,1,54.417,2498,1,2.585,51,1,0.563,8222,3,13.846,24417,8,26.03,11140,4,0.55,125,1,0.511,578,1,1.055,3339,2,0.498,2159,1,-1.157,30819,10,1.075,10200,4,0.516,8966,3,0.106,13565,5,1359,242,838,279,862.25
"E01006448","Liverpool City Region","Knowsley 001A",1358195.6134555,8576.44661631691,89,1,75.522,89,1,0.519,20,1,0.346,151,1,84.491,152,1,2.227,177,1,0.772,5721,2,15.596,22224,7,30.882,8320,3,0.659,15,1,0.558,329,1,1.552,891,1,0.617,111,1,-0.767,27612,9,1.191,9743,3,0.714,6632,3,0.159,12728,4,1858,521,1007,330,1008
"E01006449","Liverpool City Region","Knowsley 012A",290441.56944,2789.57224247944,5687,2,35.565,5687,2,0.2,6643,3,0.152,6377,2,29.347,8842,3,1.639,1014,1,0.51,8943,3,16.463,21092,7,23.587,12718,4,0.194,10459,4,0.296,4862,2,0.36,10631,4,0.391,7372,3,0.029,15180,5,-0.25,16519,6,0.27,12286,4,0.352,10079,4,1521,267,851,403,839.25
"E01006450","Liverpool City Region","Knowsley 012B",356443.882683,4040.02221344588,880,1,60.402,880,1,0.35,1027,1,0.247,1367,1,59.439,1800,1,2.131,236,1,0.932,4110,2,14.933,23122,8,35.897,5857,2,0.4,1463,1,0.497,667,1,1.179,2518,1,0.512,1709,1,-0.766,27596,9,1.045,10353,4,0.708,6703,3,0.724,6276,2,1421,329,797,295,794.5
"E01006451","Liverpool City Region","Knowsley 012C",242501.1795375,3304.20276998679,3377,2,43.402,3377,2,0.259,3650,2,0.201,3084,1,38.579,5743,2,1.352,2089,1,0.631,7319,3,14.627,23500,8,37.684,5102,2,0.343,2829,1,0.313,4172,2,0.8,5483,2,0.411,6110,2,-0.122,17836,6,-0.257,16561,6,0.877,4937,2,0.446,8952,3,1451,283,826,342,821.25
"E01006452","Liverpool City Region","Knowsley 012D",205176.7389535,3278.74967590879,5573,2,35.897,5573,2,0.228,5079,2,0.139,7541,3,38.911,5661,2,1.069,3734,2,0.154,14240,5,11.654,26955,9,47.419,2364,1,0.317,3712,2,0.306,4429,2,0.798,5513,2,0.414,5892,2,-0.427,22950,7,-0.292,16761,6,1.185,2548,1,0.526,8131,3,1435,303,864,268,868
